accession	taxid	description	kingdom	phylum	class	domain	contig
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000094l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000095l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000096l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000097l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000098l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000099l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000100l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000103l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000104l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000105l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000106l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000107l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000108l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000110l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000112l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000113l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000114l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000115l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000116l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000117l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000118l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000119l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000120l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000122l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000124l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000125l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000126l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000127l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000128l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000129l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000130l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000133l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000134l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000136l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000137l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000138l
EU123948.1	160068	Trebouxia aggregata strain SAG 219-1d ribosomal protein S2 (rps2) gene, complete cds; tRNA-Met (trnMe(cau)) and large subunit ribosomal RNA (rnl) genes, complete sequence; putative site-specific DNA endonuclease (orf365) gene, complete cds; small subunit ribosomal RNA (rns) and tRNA-Met (trnMf(cau)) genes, complete sequence; cytochrome c oxidase subunit 1 (cox1), putative site-specific DNA endonuclease (orf335), and putative site-specific DNA endonuclease (orf256) genes, complete cds; tRNA-Phe (trnF(gaa)) and tRNA-Lys (trnK(uuu)) genes, complete sequence; and apocytochrome b (cob) and putative site-specific DNA endonuclease (orf334) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000139l
